iter	Logloss
0	0.6748188095
1	0.6567675746
2	0.6421464193
3	0.6271837994
4	0.6141357422
5	0.5995033942
6	0.5885730295
7	0.5792132271
8	0.5650128471
9	0.5582839397
10	0.547796386
11	0.53388483
12	0.5246267237
13	0.5160108856
14	0.5088899716
15	0.4965945356
16	0.4885527165
17	0.4846910187
18	0.4772420189
19	0.4694116806
20	0.4639603579
21	0.4610496893
22	0.4563299578
23	0.4495357306
24	0.4415441475
25	0.4377567324
26	0.4346464753
27	0.4314466329
28	0.4294670564
29	0.4268276357
30	0.4229143902
31	0.4210796629
32	0.4170477575
33	0.4139721715
34	0.4123187133
35	0.4098955827
36	0.4082940656
37	0.4068370917
38	0.4039616626
39	0.4031405299
40	0.4013090817
41	0.3995084134
42	0.3973851245
43	0.3966100305
44	0.3948859185
45	0.3931531933
46	0.3915492279
47	0.3901512343
48	0.3883337332
49	0.3874080625
50	0.3865218286
51	0.3855242798
52	0.3847407475
53	0.3838273625
54	0.3821917865
55	0.3806071022
56	0.3775770302
57	0.3764577609
58	0.3753739934
59	0.3739695727
60	0.3716184949
61	0.3712124975
62	0.3704456668
63	0.3701294295
64	0.3688924183
65	0.3680938458
66	0.3659756723
67	0.3648228686
68	0.3640239027
69	0.3625494184
70	0.3603862118
71	0.3596087349
72	0.3586167169
73	0.3580463923
74	0.3577075947
75	0.3567321471
76	0.354652842
77	0.3535936678
78	0.3530543418
79	0.3522830952
80	0.3512706593
81	0.3508454244
82	0.3500230674
83	0.349482233
84	0.3490600149
85	0.3479984141
86	0.3470881552
87	0.3462217708
88	0.3456930253
89	0.3447948554
90	0.3427579601
91	0.3416552393
92	0.3390384226
93	0.3383931157
94	0.3371460704
95	0.3364583975
96	0.3360393273
97	0.335481354
98	0.3348410751
99	0.3343278289
100	0.3342077698
101	0.3332585769
102	0.3326599427
103	0.3321498663
104	0.3315696607
105	0.3310419646
106	0.3303760867
107	0.329228311
108	0.3273676788
109	0.3263984833
110	0.3257712334
111	0.3248531484
112	0.3240339831
113	0.3235352524
114	0.3234387592
115	0.323224218
116	0.3223601071
117	0.3212110634
118	0.3208685277
119	0.3201685471
120	0.31927464
121	0.3181612949
122	0.3176289206
123	0.3161161144
124	0.3147410089
125	0.3143474284
126	0.3138763515
127	0.3126436469
128	0.3119695713
129	0.3114695945
130	0.3109687652
131	0.3093776758
132	0.3089247214
133	0.3083636658
134	0.306943877
135	0.3064586126
136	0.3054358365
137	0.3050166789
138	0.3044360142
139	0.304006582
140	0.3028861103
141	0.3025550733
142	0.3022435142
143	0.301328905
144	0.300620049
145	0.2996406009
146	0.2989281816
147	0.2986561904
148	0.29831595
149	0.2976900992
150	0.2973702767
151	0.2969896377
152	0.2966178304
153	0.2961305984
154	0.2951751315
155	0.294456307
156	0.2937037077
157	0.2929927312
158	0.2928864662
159	0.2921899397
160	0.2911479917
161	0.2907517223
162	0.2897556163
163	0.2890356113
164	0.2883686405
165	0.2871230598
166	0.2869105954
167	0.2861604007
168	0.285136313
169	0.2848097137
170	0.2844811907
171	0.2839706552
172	0.2835810751
173	0.2826543551
174	0.282229623
175	0.2819206653
176	0.2816204519
177	0.2790707913
178	0.2784349064
179	0.2776327488
180	0.2772497926
181	0.2766491035
182	0.2759113913
183	0.2751717772
184	0.2750199108
185	0.2742269565
186	0.2735004152
187	0.2724789945
188	0.2719762414
189	0.2715914926
190	0.271134341
191	0.2701532096
192	0.2696461937
193	0.2687205667
194	0.2682920308
195	0.2676891338
196	0.2672954002
197	0.2666834309
198	0.2654175635
199	0.2646220516
200	0.2639302907
201	0.2627310329
202	0.2622702525
203	0.2608988852
204	0.2604741312
205	0.2595234956
206	0.2591495896
207	0.2587113476
208	0.257843105
209	0.2569385299
210	0.2567294102
211	0.2558971285
212	0.2552794973
213	0.2548947485
214	0.2546618661
215	0.2540013442
216	0.2537952412
217	0.2519851291
218	0.2509030667
219	0.2503584941
220	0.249289723
221	0.2486751742
222	0.2483963843
223	0.2481409417
224	0.2467604585
225	0.2465290408
226	0.2458692403
227	0.2449720978
228	0.2446395306
229	0.2437926241
230	0.2433478675
231	0.2430369424
232	0.2419188535
233	0.2415367279
234	0.2410620004
235	0.2406598285
236	0.2399446329
237	0.239690174
238	0.2392436905
239	0.2383477066
240	0.2380760652
241	0.2376131205
242	0.2370065727
243	0.2363608724
244	0.2359349816
245	0.2351110508
246	0.234557078
247	0.2343297483
248	0.2336261389
249	0.233335566
250	0.2327608037
251	0.231810802
252	0.2310358173
253	0.2305998269
254	0.2298817238
255	0.2292074734
256	0.2289725361
257	0.2280264693
258	0.2274845637
259	0.2263871332
260	0.225736077
261	0.2248755075
262	0.2234343608
263	0.2230293033
264	0.220917076
265	0.2199140838
266	0.2193107496
267	0.2184007967
268	0.2180199828
269	0.217647476
270	0.2171471057
271	0.2167208434
272	0.216204952
273	0.2158189134
274	0.214780179
275	0.214185436
276	0.2137605071
277	0.2136521216
278	0.2125592819
279	0.2119587677
280	0.2117914675
281	0.2113100943
282	0.2110342774
283	0.2104945142
284	0.2103916376
285	0.2102524285
286	0.2093822403
287	0.2087432074
288	0.2083893478
289	0.2082488708
290	0.2079402628
291	0.2075838018
292	0.2069967975
293	0.2065114456
294	0.2062192769
295	0.2058775937
296	0.2055190559
297	0.2048905162
298	0.2042531885
299	0.2039554235
